Phrasal Verb,Meaning (Indonesia),Example Sentence,Separable,Category
ask out,Mengajak kencan,"He finally asked her out to dinner.",Yes,Social
back up,Mendukung / Mencadangkan data,"Always back up your files. / I'll back you up in the meeting.",Yes,General
blow up,Meledak / Marah besar,"The argument blew up quickly. / Don't blow up over small things.",No,Emotion
break down,Rusak / Menangis / Menguraikan,"My car broke down on the highway. / She broke down in tears.",No,General
break up,Putus hubungan / Membubarkan,"They broke up after two years together.",No,Relationship
bring up,Membesarkan / Menyebutkan topik,"She was brought up in a small town. / Don't bring up that topic again.",Yes,General
call off,Membatalkan,"They called off the wedding at the last minute.",Yes,General
calm down,Tenang / Menenangkan,"Please calm down and listen to me.",No,Emotion
carry on,Melanjutkan,"Carry on with your work — don't stop.",No,General
catch up,Mengejar ketinggalan / Update berita,"I need to catch up on my studies. / Let's catch up over coffee.",No,General
check in,Lapor masuk / Check in hotel,"We need to check in at the airport two hours early.",No,Travel
check out,Check out / Lihat sesuatu yang menarik,"Check out this amazing video! / We checked out of the hotel at noon.",No,Travel
cheer up,Menghibur / Menjadi ceria,"Cheer up! Things will get better.",No,Emotion
come across,Menemukan secara tidak sengaja / Memberikan kesan,"I came across an interesting article today. / She comes across as very confident.",No,General
come up with,Memikirkan / Menghasilkan ide,"Can you come up with a better solution?",No,Thinking
count on,Mengandalkan / Bergantung pada,"You can always count on me for help.",No,Relationship
cut down on,Mengurangi,"You should cut down on sugar intake.",No,Health
deal with,Menangani / Menghadapi,"How do you deal with stress?",No,General
drop off,Mengantar / Menurun,"Can you drop me off at the station? / Sales dropped off last month.",Yes,General
end up,Berakhir / Akhirnya menjadi,"We ended up staying until midnight.",No,Result
fall apart,Berantakan / Hancur,"Their relationship fell apart after the argument.",No,Emotion
fall behind,Tertinggal / Ketinggalan,"Don't fall behind on your assignments.",No,Study
figure out,Memahami / Menemukan solusi,"I can't figure out this math problem.",Yes,Thinking
fill in,Mengisi (formulir) / Menggantikan,"Please fill in this form. / Can you fill in for me tomorrow?",Yes,General
find out,Menemukan / Mengetahui,"I just found out she's moving to another city.",Yes,General
get along,Rukun / Cocok satu sama lain,"Do you get along with your classmates?",No,Relationship
get away,Kabur / Berlibur,"We need to get away for the weekend.",No,Travel
get over,Sembuh / Bangkit dari masalah,"It took her months to get over the breakup.",No,Emotion
get rid of,Menyingkirkan / Membuang,"It's time to get rid of old clothes.",No,General
give up,Menyerah / Berhenti melakukan,"Never give up on your dreams.",No,Motivation
go ahead,Silakan / Melanjutkan,"Go ahead — I'm listening.",No,Permission
go over,Meninjau / Membahas ulang,"Let's go over the main points before the exam.",No,Study
grow up,Tumbuh dewasa / Berperilaku dewasa,"Where did you grow up? / Grow up and stop complaining!",No,General
hang on,Tunggu sebentar / Bertahan,"Hang on — I'll be right back.",No,General
hang out,Menghabiskan waktu bersama teman,"Let's hang out this weekend.",No,Social
hold on,Tunggu / Bertahan,"Hold on a second — I need to check something.",No,General
keep up with,Mengikuti perkembangan,"It's hard to keep up with all the new vocabulary.",No,Study
let down,Mengecewakan,"I promised I wouldn't let you down.",Yes,Emotion
look after,Menjaga / Merawat,"Can you look after my cat while I'm away?",No,General
look forward to,Menantikan dengan gembira,"I'm looking forward to the holiday.",No,Emotion
look into,Menyelidiki / Memeriksa lebih lanjut,"The manager will look into the complaint.",No,General
look up,Mencari informasi / Mencari di kamus,"Look up the word in the dictionary.",Yes,Study
make up,Berdamai / Berpura-pura / Merias,"They made up after the argument. / She made up a story.",No,General
move on,Melanjutkan hidup / Melupakan masa lalu,"It's time to move on and forget the past.",No,Emotion
pass out,Pingsan / Membagikan,"She passed out from the heat.",No,Health
pick up,Menjemput / Mengambil / Belajar dengan cepat,"Can you pick me up at 7? / She picked up English quickly.",Yes,General
point out,Menunjukkan / Menyebutkan,"He pointed out several mistakes in the report.",Yes,General
put off,Menunda,"Don't put off your homework until the last minute.",Yes,Study
put up with,Menoleransi / Bersabar dengan,"I can't put up with this noise anymore.",No,Emotion
run into,Bertemu secara tidak sengaja,"I ran into my old friend at the mall.",No,Social
run out of,Kehabisan,"We ran out of time before finishing the exam.",No,General
set up,Mendirikan / Menyiapkan,"They set up a new company last year.",Yes,General
show off,Pamer,"He's always showing off his new phone.",No,Social
show up,Muncul / Datang,"She didn't show up to the meeting.",No,General
slow down,Melambat / Memperlambat,"Please slow down — I can't keep up.",No,General
stand out,Menonjol / Berbeda dari yang lain,"Her essay really stood out from the others.",No,General
take after,Mirip dengan (orang tua),"She takes after her mother in personality.",No,Family
take off,Lepas landas / Melepas / Pergi tiba-tiba,"The plane took off on time. / Take off your shoes.",No,Travel
take over,Mengambil alih,"She took over the company after her father retired.",Yes,Work
think over,Mempertimbangkan dengan matang,"Take your time and think it over before deciding.",Yes,Thinking
throw away,Membuang,"Don't throw away important documents.",Yes,General
turn down,Menolak / Mengecilkan volume,"She turned down the job offer. / Turn down the music please.",Yes,General
turn off,Mematikan,"Don't forget to turn off the lights.",Yes,General
turn on,Menyalakan,"Turn on the TV — the news is starting.",Yes,General
turn up,Meningkatkan volume / Muncul tiba-tiba,"Turn up the volume. / He turned up unexpectedly.",No,General
work out,Berolahraga / Berhasil / Menyelesaikan,"I work out every morning. / Everything worked out in the end.",No,Health
